id,brthcan,prv,region,marstat
319,2,35,3,6
320,1,10,1,3
321,1,59,5,1
322,1,59,5,2
323,1,35,3,5
324,1,59,5,2
325,1,13,1,1
326,1,48,4,1
327,1,24,2,3
328,1,24,2,1
329,1,59,5,2
330,1,11,1,3
331,1,35,3,6
332,1,47,4,3
333,1,24,2,2
334,1,35,3,1
335,1,24,2,2
336,1,35,3,5
337,1,24,2,6
338,1,13,1,1
339,1,35,3,6
340,1,24,2,1
341,1,35,3,2
342,1,47,4,1
343,1,24,2,1
344,1,35,3,1
345,1,47,4,3
346,1,24,2,6
347,2,48,4,5
348,2,59,5,6
349,1,12,1,3
350,2,10,1,3
351,2,35,3,5
352,1,12,1,1
353,1,59,5,1
354,1,59,5,3
355,1,35,3,2
356,1,48,4,3
357,1,12,1,1
358,2,13,1,3
359,2,48,4,3
360,1,47,4,6
361,1,59,5,1
362,1,12,1,6
363,1,35,3,3
364,1,47,4,1
365,1,10,1,2
366,2,35,3,1
367,1,47,4,3
368,8,48,4,5
369,1,59,5,4
370,1,59,5,1
371,1,24,2,2
372,1,48,4,1
373,1,48,4,1
374,1,12,1,6
375,1,12,1,6
376,1,24,2,6
377,1,35,3,1
378,1,12,1,1
379,1,48,4,6
380,1,12,1,1
381,1,35,3,2
382,2,59,5,3
383,1,59,5,1
384,1,13,1,1
385,1,59,5,6
386,2,10,1,6
387,1,24,2,6
388,2,47,4,1
389,2,48,4,1
390,1,35,3,3
391,1,35,3,6
392,1,10,1,5
393,2,35,3,1
394,1,24,2,2
395,1,59,5,6
396,1,59,5,1
397,1,35,3,1
398,1,35,3,1
399,2,24,2,1
400,2,48,4,1
401,1,59,5,2
402,1,35,3,3
403,1,59,5,3
404,1,48,4,4
405,1,12,1,1
406,1,10,1,1
407,2,35,3,5
408,1,48,4,6
409,1,35,3,6
410,1,12,1,5
411,1,35,3,1
412,1,13,1,1
413,2,35,3,6
414,2,35,3,1
415,1,10,1,1
416,1,24,2,3
417,1,35,3,6
418,2,10,1,6
419,1,59,5,1
420,1,35,3,1
421,1,12,1,1
422,1,48,4,1
423,2,24,2,6
424,1,13,1,1
425,2,59,5,1
426,1,48,4,2
427,1,12,1,6
428,2,59,5,1
429,1,10,1,3
430,2,59,5,3
431,2,35,3,5
432,1,35,3,1
433,2,35,3,1
434,1,59,5,5
435,1,47,4,5
436,2,35,3,1
437,1,35,3,1
438,1,10,1,1
439,1,24,2,5
440,2,59,5,6
441,1,10,1,6
442,1,10,1,1
443,2,48,4,3
444,1,13,1,1
445,1,47,4,1
446,1,10,1,1
447,1,13,1,5
448,1,24,2,6
449,2,35,3,1
450,1,35,3,1
451,1,59,5,2
452,2,59,5,6
453,1,24,2,3
454,2,35,3,2
455,1,35,3,1
456,1,35,3,1
457,1,24,2,6
458,1,12,1,1
459,2,35,3,4
460,1,35,3,3
461,1,12,1,2
462,2,35,3,1
463,1,59,5,5
464,2,48,4,1
465,1,13,1,1
466,1,35,3,3
467,1,24,2,2
468,1,10,1,6
469,1,24,2,6
470,1,47,4,4
471,2,13,1,6
472,1,48,4,1
473,1,13,1,1
474,1,35,3,5
475,2,35,3,6
476,2,35,3,2
477,1,48,4,5
478,1,35,3,1
479,1,35,3,5
480,1,35,3,3
481,2,48,4,4
482,1,12,1,3
483,2,59,5,1
484,1,59,5,1
485,2,48,4,1
486,1,46,4,5
487,2,12,1,1
488,1,46,4,1
489,1,24,2,6
490,1,35,3,6
491,1,59,5,6
492,1,24,2,6
493,2,35,3,1
494,1,12,1,6
495,1,35,3,5
496,2,59,5,1
497,1,24,2,2
498,2,48,4,1
499,1,35,3,1
500,1,59,5,6
501,1,24,2,1
502,1,12,1,3
503,2,35,3,1
504,1,47,4,6
505,2,48,4,1
506,1,59,5,2
507,1,24,2,3
508,1,46,4,6
509,1,47,4,5
510,2,35,3,6
511,1,24,2,2
512,1,35,3,6
513,1,35,3,1
514,1,46,4,1
515,1,48,4,1
516,1,24,2,2
517,1,48,4,1
518,1,35,3,2
519,1,35,3,1
520,1,13,1,1
521,1,24,2,1
522,1,47,4,1
523,1,35,3,1
524,1,59,5,2
525,2,35,3,1
526,1,59,5,6
527,1,24,2,1
528,1,10,1,1
529,1,59,5,2
530,1,46,4,1
531,1,13,1,1
532,2,35,3,1
533,2,35,3,4
534,1,11,1,3
535,1,24,2,6
536,1,48,4,6
537,2,35,3,1
538,1,35,3,4
539,1,24,2,1
540,1,35,3,1
541,2,24,2,3
