id,brthcan,prv,region,marstat
5840,1,24,2,6
5841,2,35,3,3
5842,1,46,4,1
5843,1,12,1,6
5844,2,47,4,1
5845,2,35,3,1
5846,1,35,3,2
5847,1,10,1,1
5848,1,13,1,6
5849,1,35,3,6
5850,1,47,4,1
5851,1,35,3,3
5852,1,47,4,1
5853,1,12,1,3
5854,1,48,4,1
5855,1,47,4,1
5856,1,24,2,2
5857,1,35,3,4
5858,1,11,1,1
5859,1,12,1,2
5860,1,35,3,6
5861,1,24,2,6
5862,1,48,4,1
5863,1,35,3,2
5864,1,13,1,1
5865,1,48,4,1
5866,1,35,3,1
5867,1,46,4,1
5868,1,59,5,1
5869,1,11,1,6
5870,1,47,4,5
5871,1,12,1,1
5872,1,12,1,6
5873,1,24,2,2
5874,1,13,1,1
5875,1,24,2,3
5876,1,24,2,6
5877,1,35,3,4
5878,1,35,3,1
5879,1,24,2,6
5880,1,47,4,1
5881,1,48,4,6
5882,1,46,4,1
5883,1,12,1,1
5884,1,47,4,3
5885,1,59,5,2
5886,1,35,3,6
5887,1,35,3,1
5888,1,12,1,5
5889,1,48,4,6
5890,1,47,4,1
5891,1,35,3,1
5892,1,47,4,5
5893,2,47,4,1
5894,1,13,1,1
5895,1,35,3,6
5896,1,59,5,1
5897,1,24,2,2
5898,2,24,2,6
5899,2,35,3,1
5900,1,10,1,6
5901,1,24,2,6
5902,7,11,1,1
5903,1,24,2,1
5904,1,47,4,5
5905,1,13,1,2
5906,1,35,3,5
5907,2,35,3,1
5908,1,47,4,5
5909,1,59,5,1
5910,1,11,1,1
5911,1,35,3,2
5912,1,24,2,1
5913,1,48,4,2
5914,2,59,5,6
5915,2,24,2,6
5916,2,48,4,1
5917,1,35,3,1
5918,1,13,1,1
5919,1,24,2,1
5920,2,24,2,2
5921,1,35,3,3
5922,1,46,4,5
5923,1,59,5,3
5924,2,35,3,1
5925,1,59,5,4
5926,1,12,1,1
5927,1,35,3,4
5928,1,59,5,1
5929,1,47,4,3
5930,1,35,3,1
5931,1,47,4,1
5932,1,10,1,2
5933,1,24,2,5
5934,1,35,3,6
5935,1,24,2,3
5936,1,47,4,1
5937,2,35,3,1
5938,1,47,4,6
5939,1,48,4,1
5940,1,59,5,1
5941,1,12,1,2
5942,1,24,2,6
5943,1,24,2,1
5944,1,35,3,6
5945,1,24,2,6
5946,1,48,4,5
5947,1,48,4,6
5948,2,24,2,6
5949,1,35,3,6
5950,1,24,2,5
5951,1,24,2,2
5952,1,35,3,1
5953,1,35,3,1
5954,1,46,4,1
5955,1,10,1,6
5956,1,35,3,6
5957,1,24,2,5
5958,1,12,1,1
5959,1,12,1,6
5960,1,24,2,6
5961,1,12,1,1
5962,2,59,5,1
5963,1,24,2,2
5964,2,59,5,1
5965,2,12,1,4
5966,1,35,3,6
5967,1,24,2,2
5968,1,24,2,1
5969,1,59,5,1
5970,1,35,3,6
5971,2,12,1,1
5972,2,35,3,4
5973,1,13,1,1
5974,2,59,5,1
5975,1,46,4,1
5976,1,24,2,1
5977,1,24,2,2
5978,2,12,1,1
5979,2,35,3,1
5980,1,11,1,1
5981,1,12,1,1
5982,2,47,4,1
5983,1,59,5,1
5984,1,24,2,6
5985,1,13,1,5
5986,1,35,3,6
5987,1,13,1,5
5988,1,24,2,2
5989,2,13,1,5
5990,1,13,1,1
5991,1,59,5,2
5992,1,10,1,2
5993,1,13,1,1
5994,1,46,4,2
5995,1,12,1,3
5996,1,59,5,1
5997,1,11,1,5
5998,2,35,3,4
5999,1,59,5,1
6000,1,24,2,6
6001,1,48,4,3
6002,1,24,2,1
6003,1,35,3,1
6004,2,48,4,5
6005,1,48,4,1
6006,1,11,1,1
6007,1,24,2,1
6008,1,59,5,5
6009,2,35,3,5
6010,1,24,2,5
6011,1,47,4,6
6012,1,35,3,1
6013,1,59,5,2
6014,1,47,4,5
6015,1,47,4,1
6016,1,48,4,6
6017,1,59,5,2
6018,2,48,4,1
6019,1,48,4,1
6020,1,12,1,1
6021,2,35,3,6
6022,1,59,5,6
6023,2,47,4,3
6024,1,24,2,6
6025,1,13,1,1
6026,1,47,4,3
6027,1,24,2,6
6028,1,24,2,5
6029,1,35,3,1
6030,2,35,3,6
6031,2,59,5,1
6032,2,35,3,6
6033,1,35,3,6
6034,1,59,5,6
6035,1,48,4,1
6036,1,10,1,1
6037,1,35,3,1
6038,2,48,4,5
6039,1,24,2,5
6040,1,46,4,6
6041,1,24,2,6
6042,1,47,4,3
6043,2,24,2,6
6044,2,47,4,1
6045,1,48,4,2
6046,2,59,5,6
6047,1,48,4,1
6048,1,48,4,6
6049,1,12,1,3
6050,1,59,5,6
6051,1,48,4,6
6052,1,35,3,5
6053,1,24,2,3
6054,2,59,5,1
6055,1,46,4,3
6056,1,47,4,1
6057,1,24,2,1
6058,2,59,5,1
6059,2,47,4,1
6060,1,35,3,1
6061,2,46,4,1
6062,1,35,3,6
6063,1,24,2,2
6064,2,35,3,3
6065,1,24,2,3
6066,1,35,3,4
6067,1,24,2,1
6068,1,12,1,1
6069,1,12,1,1
6070,2,35,3,6
6071,2,59,5,1
6072,1,12,1,1
6073,1,13,1,6
6074,1,35,3,1
6075,1,48,4,1
6076,1,48,4,1
6077,1,12,1,1
6078,2,35,3,6
6079,2,35,3,1
6080,1,13,1,1
6081,1,48,4,1
6082,1,46,4,1
6083,1,12,1,6
6084,1,12,1,6
6085,1,24,2,3
6086,1,13,1,1
6087,1,24,2,2
6088,1,46,4,3
6089,1,35,3,2
6090,2,35,3,6
6091,1,35,3,6
6092,1,12,1,1
6093,1,35,3,3
6094,1,11,1,4
6095,1,13,1,6
6096,1,59,5,4
6097,1,24,2,6
6098,1,47,4,3
6099,1,35,3,1
6100,1,35,3,6
6101,1,12,1,1
6102,1,48,4,6
6103,1,24,2,2
6104,1,12,1,2
6105,2,35,3,1
6106,1,24,2,6
6107,2,35,3,1
6108,1,24,2,5
6109,1,10,1,6
6110,2,35,3,1
6111,1,48,4,1
6112,1,48,4,6
6113,1,12,1,6
6114,1,10,1,1
6115,1,35,3,3
6116,1,48,4,6
6117,1,24,2,3
6118,1,24,2,2
6119,1,46,4,1
6120,1,35,3,1
6121,1,47,4,2
6122,1,10,1,1
6123,2,48,4,1
6124,1,59,5,5
6125,2,35,3,1
6126,1,12,1,1
6127,2,46,4,1
6128,1,59,5,2
6129,1,47,4,5
6130,2,35,3,3
6131,1,35,3,4
6132,1,12,1,1
6133,1,46,4,2
6134,1,35,3,1
6135,1,24,2,6
6136,2,35,3,1
6137,1,35,3,1
6138,1,10,1,1
6139,2,24,2,2
6140,1,47,4,1
6141,1,24,2,3
6142,1,24,2,6
6143,2,59,5,6
6144,1,35,3,1
6145,1,10,1,1
6146,1,12,1,1
6147,1,59,5,1
6148,1,35,3,6
6149,1,24,2,6
6150,1,13,1,6
6151,1,46,4,1
6152,1,12,1,6
6153,1,35,3,6
6154,1,13,1,1
6155,1,10,1,2
6156,1,47,4,6
6157,1,11,1,1
6158,1,24,2,6
6159,1,59,5,5
6160,1,10,1,4
6161,1,24,2,6
6162,2,11,1,1
6163,1,10,1,3
6164,1,47,4,1
6165,1,12,1,1
6166,1,59,5,6
6167,2,35,3,6
6168,1,12,1,1
6169,1,11,1,1
6170,1,35,3,1
6171,1,35,3,1
6172,1,35,3,2
6173,1,24,2,2
6174,1,24,2,6
6175,1,59,5,1
6176,1,10,1,1
6177,2,35,3,6
6178,1,24,2,1
6179,1,35,3,6
6180,1,35,3,1
6181,2,35,3,5
6182,1,59,5,1
6183,1,13,1,5
6184,1,35,3,2
6185,1,24,2,2
6186,1,12,1,1
6187,2,35,3,6
6188,1,35,3,5
6189,1,35,3,1
6190,1,35,3,4
6191,1,35,3,6
6192,2,35,3,1
6193,1,35,3,6
6194,2,24,2,5
6195,1,24,2,1
6196,1,35,3,6
6197,1,35,3,1
6198,1,24,2,5
6199,1,46,4,1
6200,1,46,4,1
6201,1,47,4,6
6202,1,35,3,1
6203,1,47,4,1
6204,1,24,2,6
6205,1,35,3,3
6206,1,59,5,1
6207,2,35,3,3
6208,1,48,4,5
6209,1,24,2,1
6210,1,12,1,1
6211,1,24,2,1
6212,1,10,1,1
6213,1,35,3,6
6214,1,24,2,1
6215,1,59,5,1
6216,1,10,1,6
6217,2,48,4,3
6218,1,48,4,6
6219,1,13,1,1
6220,1,35,3,3
6221,1,35,3,6
6222,1,24,2,3
6223,1,24,2,1
6224,2,59,5,6
6225,1,13,1,6
6226,1,59,5,2
6227,1,35,3,6
6228,1,35,3,2
6229,2,59,5,1
6230,2,35,3,1
6231,1,24,2,1
6232,1,48,4,1
6233,1,24,2,1
6234,1,48,4,6
6235,1,12,1,3
6236,1,47,4,1
6237,2,35,3,1
6238,1,59,5,1
6239,2,10,1,3
6240,2,24,2,6
6241,2,24,2,1
6242,1,35,3,6
6243,1,35,3,1
6244,1,35,3,1
6245,1,24,2,6
6246,1,35,3,6
6247,1,24,2,5
6248,1,24,2,5
6249,1,35,3,1
6250,1,10,1,2
6251,1,46,4,3
6252,1,35,3,6
6253,1,35,3,3
6254,1,47,4,1
6255,1,35,3,6
6256,2,11,1,3
6257,1,35,3,5
6258,2,48,4,6
6259,1,24,2,6
6260,1,24,2,5
6261,1,24,2,5
6262,1,24,2,2
6263,2,35,3,6
6264,2,59,5,6
6265,1,13,1,6
6266,1,35,3,6
6267,1,11,1,1
6268,2,24,2,1
6269,1,10,1,1
6270,1,35,3,5
6271,1,48,4,6
6272,1,48,4,3
6273,1,24,2,5
6274,1,35,3,6
6275,1,47,4,6
6276,1,59,5,6
6277,1,46,4,1
6278,1,48,4,1
6279,1,47,4,1
6280,1,35,3,6
6281,2,47,4,1
6282,1,35,3,6
6283,1,12,1,1
6284,1,47,4,6
6285,1,24,2,1
6286,1,47,4,6
6287,1,12,1,6
6288,1,35,3,3
6289,1,10,1,1
6290,1,47,4,1
6291,2,59,5,6
6292,1,24,2,4
6293,1,35,3,2
6294,2,24,2,1
6295,1,35,3,1
6296,1,13,1,2
6297,1,24,2,2
6298,1,24,2,2
6299,2,59,5,5
6300,1,46,4,3
6301,1,35,3,1
6302,1,59,5,1
6303,1,35,3,5
6304,2,13,1,1
6305,1,24,2,1
6306,1,59,5,1
6307,1,59,5,1
6308,1,59,5,1
6309,1,47,4,3
6310,1,59,5,5
6311,1,11,1,2
6312,1,35,3,6
6313,1,10,1,1
6314,1,12,1,1
6315,1,35,3,1
6316,1,24,2,6
6317,1,46,4,3
6318,1,12,1,6
6319,1,35,3,1
6320,1,46,4,1
6321,1,24,2,6
6322,1,24,2,2
6323,1,59,5,1
6324,1,46,4,3
6325,2,47,4,1
6326,1,35,3,2
6327,1,35,3,6
6328,2,48,4,3
6329,2,35,3,1
6330,2,35,3,1
6331,1,12,1,4
6332,2,48,4,1
6333,1,46,4,6
6334,1,24,2,6
6335,1,35,3,1
6336,1,12,1,1
6337,1,24,2,2
6338,2,59,5,1
6339,1,59,5,6
6340,2,59,5,1
6341,1,13,1,3
6342,1,59,5,3
6343,2,59,5,1
6344,2,59,5,1
6345,1,59,5,2
6346,1,35,3,2
6347,1,13,1,6
6348,1,13,1,2
6349,1,46,4,1
6350,1,24,2,6
6351,2,24,2,1
6352,2,24,2,1
6353,1,35,3,2
6354,1,47,4,1
6355,1,13,1,1
6356,2,59,5,3
6357,1,12,1,5
6358,1,35,3,6
6359,2,35,3,1
6360,1,48,4,6
6361,1,59,5,6
6362,1,24,2,1
6363,1,35,3,2
6364,2,35,3,1
6365,1,46,4,1
6366,1,35,3,1
6367,1,12,1,1
6368,1,12,1,1
6369,1,10,1,2
6370,1,59,5,2
6371,7,10,1,1
6372,1,35,3,1
6373,1,13,1,6
6374,1,12,1,5
6375,1,59,5,6
6376,2,35,3,1
6377,1,47,4,5
6378,2,35,3,1
6379,1,13,1,3
6380,1,59,5,2
6381,1,24,2,5
6382,1,12,1,1
6383,2,46,4,1
6384,1,59,5,1
6385,1,48,4,6
6386,1,35,3,1
6387,1,47,4,3
6388,1,47,4,1
6389,2,59,5,5
6390,2,59,5,1
6391,1,24,2,5
6392,1,12,1,5
6393,1,35,3,1
6394,1,47,4,1
6395,2,46,4,1
6396,1,13,1,1
6397,1,47,4,3
6398,2,35,3,4
6399,1,47,4,5
6400,1,59,5,3
6401,2,24,2,1
6402,1,11,1,6
6403,2,46,4,1
6404,1,35,3,2
6405,1,47,4,1
6406,1,59,5,6
6407,2,35,3,6
6408,1,13,1,1
6409,1,13,1,3
6410,1,35,3,6
6411,2,35,3,1
6412,1,13,1,1
6413,1,11,1,3
6414,1,10,1,1
6415,1,24,2,2
6416,1,10,1,3
6417,1,12,1,2
6418,2,46,4,6
6419,1,12,1,1
6420,1,10,1,1
6421,1,48,4,1
6422,1,46,4,6
6423,1,10,1,2
6424,2,24,2,1
6425,1,48,4,1
6426,1,48,4,4
6427,1,48,4,1
6428,2,35,3,1
6429,1,24,2,1
6430,1,35,3,1
6431,1,59,5,1
6432,1,47,4,1
6433,1,13,1,4
6434,1,13,1,4
6435,1,35,3,1
6436,1,47,4,4
6437,2,48,4,1
6438,1,48,4,1
6439,1,35,3,1
6440,2,35,3,1
6441,2,35,3,2
6442,1,48,4,1
6443,1,35,3,1
6444,1,11,1,3
6445,1,12,1,1
6446,1,35,3,2
6447,1,47,4,1
6448,1,47,4,1
6449,1,24,2,3
6450,1,35,3,1
6451,1,13,1,1
6452,1,48,4,6
6453,1,12,1,5
6454,1,24,2,1
6455,1,48,4,1
6456,1,35,3,1
6457,1,10,1,5
6458,1,12,1,2
6459,1,24,2,6
6460,1,10,1,1
6461,1,35,3,6
6462,1,47,4,6
6463,1,11,1,1
6464,1,35,3,1
6465,1,47,4,2
6466,1,13,1,1
6467,1,12,1,1
6468,1,12,1,1
6469,1,59,5,6
6470,2,35,3,6
6471,1,46,4,6
6472,1,59,5,1
6473,1,35,3,6
6474,1,47,4,3
6475,1,48,4,1
6476,2,59,5,1
6477,2,35,3,6
6478,2,35,3,3
6479,1,13,1,1
6480,1,12,1,6
6481,1,24,2,6
6482,1,35,3,5
6483,1,24,2,6
6484,1,59,5,1
6485,1,59,5,1
6486,2,12,1,1
6487,1,47,4,2
6488,1,59,5,1
6489,1,59,5,1
6490,1,48,4,1
6491,1,24,2,6
6492,1,48,4,1
6493,1,35,3,1
6494,1,47,4,3
6495,1,59,5,4
6496,1,47,4,1
6497,1,48,4,2
6498,1,48,4,1
6499,1,11,1,1
6500,1,24,2,6
6501,1,46,4,6
6502,2,24,2,1
6503,1,11,1,3
6504,1,59,5,3
6505,2,46,4,6
6506,1,59,5,6
6507,1,12,1,1
6508,1,10,1,1
6509,1,24,2,6
6510,2,59,5,1
6511,2,48,4,1
6512,2,47,4,5
6513,1,35,3,1
6514,1,47,4,1
6515,2,24,2,2
6516,1,11,1,1
6517,2,35,3,3
6518,1,24,2,2
6519,1,35,3,2
6520,1,35,3,1
6521,1,24,2,5
6522,1,13,1,1
6523,1,48,4,1
6524,1,24,2,5
6525,1,48,4,5
6526,1,48,4,1
6527,1,10,1,6
6528,1,12,1,1
6529,1,13,1,1
6530,9,11,1,5
6531,1,35,3,6
6532,1,48,4,1
6533,1,35,3,3
6534,1,24,2,6
6535,2,47,4,6
6536,1,59,5,3
6537,1,46,4,1
6538,1,13,1,1
6539,1,59,5,1
6540,1,47,4,1
6541,1,12,1,3
6542,1,10,1,6
6543,1,11,1,3
6544,1,10,1,1
6545,1,24,2,6
6546,1,24,2,6
6547,1,24,2,2
6548,1,35,3,1
6549,2,35,3,3
6550,1,59,5,1
6551,1,12,1,3
6552,2,35,3,1
6553,1,24,2,6
6554,1,35,3,1
6555,1,10,1,1
6556,1,35,3,6
6557,1,59,5,6
6558,1,35,3,1
6559,1,13,1,2
6560,1,47,4,1
6561,1,10,1,1
6562,1,46,4,6
6563,1,59,5,3
6564,1,24,2,5
6565,1,10,1,1
6566,1,24,2,3
6567,1,48,4,1
6568,1,12,1,1
6569,1,24,2,3
6570,1,35,3,1
6571,1,48,4,1
6572,1,48,4,4
6573,1,24,2,2
6574,1,35,3,4
6575,1,24,2,2
6576,1,12,1,4
6577,1,24,2,5
6578,1,35,3,1
6579,1,59,5,1
6580,2,35,3,6
6581,1,59,5,1
6582,1,24,2,6
6583,2,35,3,1
6584,1,10,1,5
6585,1,35,3,1
6586,1,48,4,1
6587,1,35,3,6
6588,1,12,1,3
6589,1,35,3,1
6590,1,24,2,6
6591,2,35,3,5
6592,1,35,3,6
6593,2,35,3,5
6594,1,10,1,5
6595,1,10,1,1
6596,2,35,3,1
6597,1,12,1,1
6598,1,35,3,6
6599,8,47,4,1
6600,1,46,4,1
6601,2,13,1,1
6602,1,59,5,6
6603,1,24,2,3
6604,1,47,4,6
6605,1,35,3,6
6606,1,46,4,5
6607,1,10,1,2
6608,1,35,3,2
6609,1,11,1,2
6610,2,35,3,1
6611,1,10,1,1
6612,2,35,3,1
6613,1,10,1,1
6614,2,35,3,1
6615,1,24,2,6
6616,1,24,2,6
6617,1,48,4,1
6618,1,35,3,4
6619,1,48,4,2
6620,2,59,5,3
6621,1,47,4,1
6622,1,48,4,6
6623,2,35,3,6
6624,1,46,4,1
6625,1,10,1,1
6626,1,11,1,1
6627,1,11,1,6
6628,1,35,3,3
6629,1,47,4,3
6630,2,59,5,3
6631,1,13,1,6
6632,1,59,5,6
6633,2,35,3,1
6634,2,24,2,1
6635,1,10,1,5
6636,1,10,1,1
6637,1,24,2,3
6638,2,59,5,1
6639,2,35,3,1
6640,1,12,1,3
6641,1,24,2,1
6642,1,12,1,2
6643,1,48,4,1
6644,1,10,1,6
6645,1,10,1,1
6646,1,24,2,2
6647,1,59,5,6
6648,1,13,1,5
6649,1,48,4,3
6650,1,13,1,1
6651,1,10,1,1
6652,1,24,2,6
6653,2,48,4,1
6654,2,24,2,1
6655,1,35,3,5
6656,1,24,2,6
6657,1,48,4,6
6658,1,59,5,1
6659,2,59,5,1
6660,1,46,4,4
6661,1,35,3,6
6662,1,35,3,1
6663,1,46,4,5
6664,1,48,4,6
6665,1,12,1,6
6666,1,24,2,5
6667,1,35,3,5
6668,1,24,2,1
6669,1,59,5,1
6670,1,59,5,6
6671,1,10,1,1
6672,2,24,2,1
6673,1,13,1,6
6674,2,24,2,1
6675,1,35,3,1
6676,1,35,3,1
6677,1,10,1,1
6678,2,35,3,6
6679,1,59,5,5
6680,1,59,5,4
6681,1,24,2,1
6682,1,24,2,1
6683,1,12,1,3
6684,1,35,3,2
6685,1,59,5,1
6686,1,35,3,6
6687,2,35,3,6
6688,1,48,4,6
6689,2,24,2,1
6690,1,11,1,6
6691,1,11,1,1
6692,8,35,3,1
6693,1,35,3,1
6694,1,24,2,2
6695,1,59,5,1
6696,1,46,4,1
6697,2,35,3,5
6698,1,24,2,3
6699,1,13,1,2
6700,2,35,3,4
6701,1,35,3,1
6702,1,35,3,1
6703,1,12,1,4
6704,2,35,3,1
6705,2,59,5,1
6706,1,12,1,5
6707,1,24,2,5
6708,1,35,3,1
6709,2,35,3,1
6710,1,46,4,1
6711,1,47,4,1
6712,1,24,2,6
6713,2,59,5,2
6714,2,35,3,1
6715,1,12,1,4
6716,1,24,2,6
6717,2,48,4,1
6718,1,35,3,6
6719,1,10,1,1
6720,1,48,4,1
6721,1,59,5,5
6722,2,35,3,1
6723,1,12,1,6
6724,1,24,2,2
6725,2,59,5,6
6726,1,35,3,6
6727,1,13,1,1
6728,2,24,2,1
6729,1,48,4,1
6730,1,35,3,1
6731,1,10,1,1
6732,1,24,2,5
6733,2,59,5,1
6734,2,12,1,6
6735,1,35,3,1
6736,1,24,2,2
6737,1,59,5,1
6738,1,59,5,4
6739,1,48,4,6
6740,1,35,3,6
6741,1,24,2,1
6742,1,48,4,6
6743,1,48,4,1
6744,1,12,1,3
6745,1,24,2,2
6746,1,24,2,3
6747,1,35,3,5
6748,1,35,3,1
6749,1,47,4,1
6750,1,48,4,1
6751,1,10,1,1
6752,1,24,2,1
6753,1,12,1,4
6754,1,59,5,1
6755,1,46,4,1
6756,2,59,5,1
6757,1,47,4,1
6758,1,59,5,1
6759,1,12,1,3
6760,1,13,1,2
6761,1,59,5,1
6762,1,10,1,3
6763,1,24,2,6
6764,1,35,3,2
6765,1,35,3,6
6766,1,12,1,6
6767,1,59,5,5
6768,1,46,4,5
6769,1,46,4,1
6770,1,11,1,1
6771,2,35,3,5
6772,2,24,2,6
6773,1,35,3,1
6774,1,13,1,6
6775,2,59,5,5
6776,1,46,4,6
6777,1,12,1,2
6778,1,13,1,6
6779,2,35,3,6
6780,1,24,2,1
6781,2,35,3,6
6782,1,48,4,6
6783,1,35,3,6
6784,1,48,4,1
6785,1,59,5,5
6786,1,59,5,6
6787,1,35,3,1
6788,1,59,5,1
6789,1,24,2,6
6790,1,10,1,1
6791,2,11,1,6
6792,1,48,4,1
6793,1,47,4,2
6794,1,24,2,4
6795,1,24,2,2
6796,1,13,1,1
6797,1,24,2,2
6798,2,46,4,1
6799,1,13,1,1
6800,1,48,4,1
6801,1,11,1,2
6802,1,59,5,1
6803,1,24,2,2
6804,1,35,3,2
6805,1,10,1,3
6806,1,24,2,1
6807,1,13,1,5
6808,1,46,4,1
6809,1,35,3,5
6810,1,48,4,1
6811,2,46,4,1
6812,1,35,3,3
6813,1,24,2,1
6814,1,47,4,6
6815,1,24,2,6
6816,1,46,4,1
6817,2,46,4,6
6818,1,13,1,1
6819,1,48,4,1
6820,1,24,2,1
6821,2,48,4,1
6822,1,35,3,2
6823,1,12,1,1
6824,1,48,4,1
6825,2,35,3,6
6826,2,35,3,2
6827,2,35,3,6
6828,1,12,1,1
6829,1,46,4,6
6830,1,48,4,5
6831,1,24,2,5
6832,1,24,2,6
6833,2,35,3,1
6834,1,46,4,3
6835,1,35,3,3
6836,1,24,2,2
6837,1,46,4,1
6838,1,24,2,2
6839,1,35,3,1
6840,1,24,2,6
6841,1,35,3,1
6842,2,35,3,1
6843,1,13,1,1
6844,1,11,1,1
6845,2,59,5,1
6846,2,47,4,1
6847,1,13,1,6
6848,1,35,3,6
6849,1,24,2,5
6850,1,13,1,1
6851,1,59,5,1
6852,1,13,1,1
6853,1,46,4,1
6854,1,46,4,1
6855,2,35,3,1
6856,1,24,2,1
6857,1,46,4,1
6858,1,12,1,1
6859,1,35,3,1
6860,1,59,5,1
6861,1,12,1,5
6862,2,59,5,3
6863,1,24,2,1
6864,1,59,5,1
6865,1,24,2,1
6866,2,35,3,1
6867,1,59,5,2
6868,1,24,2,6
6869,1,35,3,1
6870,2,46,4,5
6871,2,59,5,5
6872,1,59,5,1
6873,1,35,3,1
6874,1,35,3,1
6875,2,59,5,1
6876,1,46,4,2
6877,1,10,1,6
6878,1,13,1,3
6879,2,35,3,1
6880,2,24,2,1
6881,1,35,3,1
6882,1,12,1,5
6883,2,35,3,1
6884,1,10,1,6
6885,2,12,1,1
6886,1,35,3,1
6887,1,12,1,1
6888,1,35,3,1
6889,1,12,1,6
6890,1,47,4,5
6891,1,13,1,1
6892,1,24,2,2
6893,1,35,3,3
6894,1,48,4,6
6895,1,10,1,5
6896,1,35,3,6
6897,1,12,1,1
6898,2,59,5,1
6899,1,12,1,6
6900,1,48,4,2
6901,2,48,4,2
6902,1,35,3,1
6903,1,24,2,1
6904,1,35,3,5
6905,1,24,2,2
6906,1,11,1,1
6907,1,13,1,3
6908,1,35,3,6
6909,1,24,2,6
6910,1,46,4,6
6911,1,35,3,6
6912,1,24,2,1
6913,1,24,2,1
6914,1,35,3,6
6915,2,24,2,6
6916,2,35,3,1
6917,2,35,3,1
6918,1,48,4,2
6919,1,59,5,1
6920,1,24,2,6
6921,1,24,2,2
6922,1,47,4,3
6923,1,47,4,2
6924,1,24,2,2
6925,1,24,2,6
6926,2,48,4,5
6927,1,35,3,1
6928,1,24,2,1
6929,1,35,3,1
6930,1,47,4,6
6931,1,47,4,1
6932,2,35,3,1
6933,1,12,1,1
6934,1,48,4,1
6935,1,48,4,5
6936,1,24,2,3
6937,1,12,1,1
6938,1,24,2,1
6939,1,47,4,5
6940,1,13,1,1
6941,1,46,4,1
6942,2,35,3,1
6943,1,46,4,1
6944,1,35,3,2
6945,1,24,2,1
6946,1,35,3,1
6947,1,10,1,3
6948,2,35,3,1
6949,1,46,4,6
6950,1,35,3,1
6951,2,59,5,6
6952,1,10,1,1
6953,2,35,3,3
6954,1,59,5,6
6955,1,35,3,1
6956,1,59,5,6
6957,1,10,1,1
6958,1,35,3,5
6959,1,24,2,1
6960,1,47,4,1
6961,2,59,5,3
6962,1,59,5,3
6963,1,11,1,1
6964,2,48,4,1
6965,1,35,3,1
6966,1,24,2,2
6967,1,59,5,1
6968,1,12,1,6
6969,1,59,5,5
6970,1,35,3,6
6971,2,24,2,2
6972,1,12,1,1
6973,2,35,3,1
6974,1,24,2,2
6975,1,10,1,1
6976,1,24,2,2
6977,2,47,4,1
6978,2,35,3,4
6979,1,11,1,3
6980,1,24,2,6
6981,1,48,4,6
6982,1,48,4,1
6983,1,24,2,2
6984,2,35,3,1
6985,1,35,3,4
6986,2,24,2,6
6987,1,46,4,1
6988,1,46,4,3
6989,2,35,3,3
6990,1,24,2,2
6991,1,48,4,2
6992,1,24,2,1
6993,1,35,3,6
6994,1,35,3,3
6995,1,35,3,1
6996,1,48,4,6
6997,1,46,4,6
6998,1,35,3,1
6999,1,47,4,1
7000,1,10,1,2
7001,1,59,5,1
7002,1,59,5,1
7003,2,47,4,1
7004,8,48,4,98
7005,1,48,4,1
7006,1,13,1,3
7007,1,12,1,1
7008,2,35,3,3
7009,2,24,2,1
7010,2,35,3,1
7011,1,24,2,4
7012,1,35,3,1
7013,2,46,4,1
7014,1,24,2,1
7015,2,46,4,1
7016,1,13,1,6
7017,1,35,3,1
7018,2,35,3,1
7019,1,13,1,3
7020,1,35,3,3
7021,2,35,3,1
7022,2,46,4,1
7023,1,10,1,3
7024,1,35,3,1
7025,1,59,5,3
7026,1,13,1,1
7027,1,12,1,3
7028,1,46,4,2
7029,1,47,4,6
7030,1,48,4,6
7031,1,59,5,1
7032,1,35,3,1
7033,1,48,4,1
7034,1,35,3,3
7035,1,12,1,6
7036,1,24,2,1
7037,1,35,3,1
7038,2,59,5,1
7039,1,35,3,1
7040,1,35,3,1
7041,1,46,4,3
7042,2,24,2,1
7043,2,35,3,6
7044,1,48,4,5
7045,1,35,3,6
7046,1,13,1,1
7047,1,46,4,1
7048,1,46,4,3
7049,1,24,2,6
7050,2,35,3,1
7051,1,24,2,1
7052,1,47,4,6
7053,1,24,2,4
7054,1,48,4,2
7055,1,10,1,5
7056,1,48,4,6
7057,1,48,4,6
7058,2,59,5,6
7059,1,11,1,3
7060,1,59,5,6
7061,2,35,3,4
7062,1,24,2,1
7063,1,48,4,6
7064,1,48,4,5
7065,1,24,2,1
7066,1,46,4,1
7067,1,10,1,6
7068,1,35,3,5
7069,1,24,2,1
7070,1,59,5,2
7071,1,46,4,3
7072,2,35,3,6
7073,1,59,5,1
7074,1,24,2,6
7075,2,59,5,5
7076,1,35,3,1
7077,2,59,5,6
7078,1,35,3,1
7079,1,35,3,6
7080,1,46,4,6
7081,2,24,2,1
7082,1,46,4,1
7083,1,35,3,4
7084,1,59,5,3
7085,1,59,5,1
7086,2,59,5,1
7087,1,48,4,2
7088,1,59,5,1
7089,1,24,2,6
7090,1,48,4,3
7091,1,48,4,6
7092,1,35,3,6
7093,1,59,5,1
7094,1,10,1,2
7095,1,47,4,3
7096,1,35,3,6
7097,1,35,3,6
7098,1,24,2,2
7099,2,48,4,2
7100,1,24,2,6
7101,1,35,3,1
7102,1,10,1,1
7103,1,48,4,5
7104,1,24,2,1
7105,1,11,1,3
7106,2,35,3,3
7107,1,48,4,2
7108,1,35,3,6
7109,1,35,3,1
7110,1,24,2,2
