County,County Code,Age Group,Year,Deaths,Population
"Alameda County, CA",6001,< 1 year,1999,110,19336
"Alameda County, CA",6001,< 1 year,2000,104,19397
"Alameda County, CA",6001,< 1 year,2001,133,22044
"Alameda County, CA",6001,< 1 year,2002,91,21316
"Alameda County, CA",6001,< 1 year,2003,97,21091
"Alameda County, CA",6001,< 1 year,2004,111,20339
"Alameda County, CA",6001,< 1 year,2005,105,19636
"Alameda County, CA",6001,< 1 year,2006,91,19532
"Alameda County, CA",6001,< 1 year,2007,105,19838
"Alameda County, CA",6001,< 1 year,2008,89,19782
"Alameda County, CA",6001,< 1 year,2009,77,18907
"Alameda County, CA",6001,< 1 year,2010,94,19010
"Alameda County, CA",6001,< 1 year,2011,79,19191
"Alameda County, CA",6001,< 1 year,2012,75,18970
"Alameda County, CA",6001,< 1 year,2013,86,19469
"Alameda County, CA",6001,< 1 year,2014,76,19475
"Alameda County, CA",6001,< 1 year,2015,75,19793
"Alameda County, CA",6001,< 1 year,2016,71,19966
"Alameda County, CA",6001,1-4 years,1999,17,79850
"Alameda County, CA",6001,1-4 years,2000,22,78981
"Alameda County, CA",6001,1-4 years,2001,15,77953
"Alameda County, CA",6001,1-4 years,2002,13,77912
"Alameda County, CA",6001,1-4 years,2003,13,78092
"Alameda County, CA",6001,1-4 years,2004,16,78711
"Alameda County, CA",6001,1-4 years,2005,10,79356
"Alameda County, CA",6001,1-4 years,2006,21,78080
"Alameda County, CA",6001,1-4 years,2007,18,77934
"Alameda County, CA",6001,1-4 years,2008,15,78653
"Alameda County, CA",6001,1-4 years,2009,18,79065
"Alameda County, CA",6001,1-4 years,2010,12,78642
"Alameda County, CA",6001,1-4 years,2011,12,78591
"Alameda County, CA",6001,1-4 years,2012,15,78511
"Alameda County, CA",6001,1-4 years,2013,10,77651
"Alameda County, CA",6001,1-4 years,2014,11,78026
"Alameda County, CA",6001,1-4 years,2016,10,77826
"Alameda County, CA",6001,5-9 years,1999,14,105925
"Alameda County, CA",6001,5-9 years,2000,14,104648
"Alameda County, CA",6001,5-9 years,2001,16,101659
"Alameda County, CA",6001,5-9 years,2002,15,97100
"Alameda County, CA",6001,5-9 years,2003,10,93360
"Alameda County, CA",6001,5-9 years,2004,13,89894
"Alameda County, CA",6001,5-9 years,2006,15,87078
"Alameda County, CA",6001,5-9 years,2007,11,87486
"Alameda County, CA",6001,10-14 years,1999,16,94557
"Alameda County, CA",6001,10-14 years,2000,19,96769
"Alameda County, CA",6001,10-14 years,2001,17,99376
"Alameda County, CA",6001,10-14 years,2002,13,100049
"Alameda County, CA",6001,10-14 years,2003,19,99504
"Alameda County, CA",6001,10-14 years,2004,13,98191
"Alameda County, CA",6001,10-14 years,2005,22,96345
"Alameda County, CA",6001,10-14 years,2006,13,94701
"Alameda County, CA",6001,10-14 years,2008,15,92215
"Alameda County, CA",6001,10-14 years,2009,13,91700
"Alameda County, CA",6001,10-14 years,2010,11,91070
"Alameda County, CA",6001,10-14 years,2011,11,91122
"Alameda County, CA",6001,10-14 years,2013,12,92318
"Alameda County, CA",6001,15-19 years,1999,48,90982
"Alameda County, CA",6001,15-19 years,2000,36,92448
"Alameda County, CA",6001,15-19 years,2001,41,91613
"Alameda County, CA",6001,15-19 years,2002,57,91251
"Alameda County, CA",6001,15-19 years,2003,51,91939
"Alameda County, CA",6001,15-19 years,2004,50,93049
"Alameda County, CA",6001,15-19 years,2005,51,94626
"Alameda County, CA",6001,15-19 years,2006,66,96464
"Alameda County, CA",6001,15-19 years,2007,54,98610
"Alameda County, CA",6001,15-19 years,2008,47,99861
"Alameda County, CA",6001,15-19 years,2009,43,100480
"Alameda County, CA",6001,15-19 years,2010,51,100394
"Alameda County, CA",6001,15-19 years,2011,34,97411
"Alameda County, CA",6001,15-19 years,2012,49,96473
"Alameda County, CA",6001,15-19 years,2013,43,95576
"Alameda County, CA",6001,15-19 years,2014,38,94703
"Alameda County, CA",6001,15-19 years,2015,46,94309
"Alameda County, CA",6001,15-19 years,2016,37,94192
"Alameda County, CA",6001,20-24 years,1999,71,97154
"Alameda County, CA",6001,20-24 years,2000,71,100745
"Alameda County, CA",6001,20-24 years,2001,83,107058
"Alameda County, CA",6001,20-24 years,2002,76,106899
"Alameda County, CA",6001,20-24 years,2003,89,104734
"Alameda County, CA",6001,20-24 years,2004,75,102387
"Alameda County, CA",6001,20-24 years,2005,72,100171
"Alameda County, CA",6001,20-24 years,2006,94,99123
"Alameda County, CA",6001,20-24 years,2007,99,100332
"Alameda County, CA",6001,20-24 years,2008,89,102938
"Alameda County, CA",6001,20-24 years,2009,89,105718
"Alameda County, CA",6001,20-24 years,2010,73,107049
"Alameda County, CA",6001,20-24 years,2011,69,110146
"Alameda County, CA",6001,20-24 years,2012,84,111074
"Alameda County, CA",6001,20-24 years,2013,74,110518
"Alameda County, CA",6001,20-24 years,2014,87,108831
"Alameda County, CA",6001,20-24 years,2015,82,105703
"Alameda County, CA",6001,20-24 years,2016,77,103215
"Alameda County, CA",6001,25-34 years,1999,194,241717
"Alameda County, CA",6001,25-34 years,2000,193,241073
"Alameda County, CA",6001,25-34 years,2001,179,245773
"Alameda County, CA",6001,25-34 years,2002,195,240571
"Alameda County, CA",6001,25-34 years,2003,187,234586
"Alameda County, CA",6001,25-34 years,2004,201,229447
"Alameda County, CA",6001,25-34 years,2005,171,224524
"Alameda County, CA",6001,25-34 years,2006,194,222914
"Alameda County, CA",6001,25-34 years,2007,167,222816
"Alameda County, CA",6001,25-34 years,2008,169,225573
"Alameda County, CA",6001,25-34 years,2009,156,227860
"Alameda County, CA",6001,25-34 years,2010,120,228204
"Alameda County, CA",6001,25-34 years,2011,173,231958
"Alameda County, CA",6001,25-34 years,2012,163,238151
"Alameda County, CA",6001,25-34 years,2013,159,247245
"Alameda County, CA",6001,25-34 years,2014,180,258022
"Alameda County, CA",6001,25-34 years,2015,178,267146
"Alameda County, CA",6001,25-34 years,2016,214,273552
"Alameda County, CA",6001,35-44 years,1999,426,248002
"Alameda County, CA",6001,35-44 years,2000,435,248706
"Alameda County, CA",6001,35-44 years,2001,401,250113
"Alameda County, CA",6001,35-44 years,2002,396,245335
"Alameda County, CA",6001,35-44 years,2003,419,240863
"Alameda County, CA",6001,35-44 years,2004,345,237185
"Alameda County, CA",6001,35-44 years,2005,343,234413
"Alameda County, CA",6001,35-44 years,2006,337,232656
"Alameda County, CA",6001,35-44 years,2007,329,230178
"Alameda County, CA",6001,35-44 years,2008,310,229501
"Alameda County, CA",6001,35-44 years,2009,292,228393
"Alameda County, CA",6001,35-44 years,2010,253,227491
"Alameda County, CA",6001,35-44 years,2011,262,228491
"Alameda County, CA",6001,35-44 years,2012,263,231611
"Alameda County, CA",6001,35-44 years,2013,260,234457
"Alameda County, CA",6001,35-44 years,2014,261,237950
"Alameda County, CA",6001,35-44 years,2015,279,241553
"Alameda County, CA",6001,35-44 years,2016,273,243703
"Alameda County, CA",6001,45-54 years,1999,779,193313
"Alameda County, CA",6001,45-54 years,2000,799,200518
"Alameda County, CA",6001,45-54 years,2001,783,208224
"Alameda County, CA",6001,45-54 years,2002,836,208405
"Alameda County, CA",6001,45-54 years,2003,827,209716
"Alameda County, CA",6001,45-54 years,2004,825,210015
"Alameda County, CA",6001,45-54 years,2005,812,211147
"Alameda County, CA",6001,45-54 years,2006,758,212916
"Alameda County, CA",6001,45-54 years,2007,768,215481
"Alameda County, CA",6001,45-54 years,2008,735,218481
"Alameda County, CA",6001,45-54 years,2009,708,221319
"Alameda County, CA",6001,45-54 years,2010,629,222617
"Alameda County, CA",6001,45-54 years,2011,677,223527
"Alameda County, CA",6001,45-54 years,2012,675,223640
"Alameda County, CA",6001,45-54 years,2013,647,223937
"Alameda County, CA",6001,45-54 years,2014,549,225227
"Alameda County, CA",6001,45-54 years,2015,598,226423
"Alameda County, CA",6001,45-54 years,2016,603,226342
"Alameda County, CA",6001,55-64 years,1999,1078,109679
"Alameda County, CA",6001,55-64 years,2000,1069,112865
"Alameda County, CA",6001,55-64 years,2001,1009,117880
"Alameda County, CA",6001,55-64 years,2002,1066,125347
"Alameda County, CA",6001,55-64 years,2003,1130,131580
"Alameda County, CA",6001,55-64 years,2004,1064,137408
"Alameda County, CA",6001,55-64 years,2005,1084,143565
"Alameda County, CA",6001,55-64 years,2006,1106,149131
"Alameda County, CA",6001,55-64 years,2007,1211,155199
"Alameda County, CA",6001,55-64 years,2008,1176,161203
"Alameda County, CA",6001,55-64 years,2009,1141,168179
"Alameda County, CA",6001,55-64 years,2010,1159,173502
"Alameda County, CA",6001,55-64 years,2011,1319,181595
"Alameda County, CA",6001,55-64 years,2012,1283,185516
"Alameda County, CA",6001,55-64 years,2013,1273,190053
"Alameda County, CA",6001,55-64 years,2014,1301,194231
"Alameda County, CA",6001,55-64 years,2015,1291,198276
"Alameda County, CA",6001,55-64 years,2016,1274,200861
"Alameda County, CA",6001,65-74 years,1999,1779,75978
"Alameda County, CA",6001,65-74 years,2000,1645,75699
"Alameda County, CA",6001,65-74 years,2001,1531,74895
"Alameda County, CA",6001,65-74 years,2002,1517,74531
"Alameda County, CA",6001,65-74 years,2003,1445,74989
"Alameda County, CA",6001,65-74 years,2004,1452,75388
"Alameda County, CA",6001,65-74 years,2005,1362,76270
"Alameda County, CA",6001,65-74 years,2006,1385,77509
"Alameda County, CA",6001,65-74 years,2007,1368,79677
"Alameda County, CA",6001,65-74 years,2008,1341,83544
"Alameda County, CA",6001,65-74 years,2009,1333,87331
"Alameda County, CA",6001,65-74 years,2010,1348,90437
"Alameda County, CA",6001,65-74 years,2011,1353,95674
"Alameda County, CA",6001,65-74 years,2012,1528,102908
"Alameda County, CA",6001,65-74 years,2013,1599,109396
"Alameda County, CA",6001,65-74 years,2014,1624,115516
"Alameda County, CA",6001,65-74 years,2015,1698,121706
"Alameda County, CA",6001,65-74 years,2016,1750,127294
"Alameda County, CA",6001,75-84 years,1999,2748,52304
"Alameda County, CA",6001,75-84 years,2000,2792,53069
"Alameda County, CA",6001,75-84 years,2001,2841,53860
"Alameda County, CA",6001,75-84 years,2002,2714,54211
"Alameda County, CA",6001,75-84 years,2003,2719,54071
"Alameda County, CA",6001,75-84 years,2004,2517,53799
"Alameda County, CA",6001,75-84 years,2005,2512,53857
"Alameda County, CA",6001,75-84 years,2006,2395,53019
"Alameda County, CA",6001,75-84 years,2007,2316,52975
"Alameda County, CA",6001,75-84 years,2008,2271,52624
"Alameda County, CA",6001,75-84 years,2009,2103,52618
"Alameda County, CA",6001,75-84 years,2010,2088,52576
"Alameda County, CA",6001,75-84 years,2011,2137,53050
"Alameda County, CA",6001,75-84 years,2012,2019,53499
"Alameda County, CA",6001,75-84 years,2013,2040,54534
"Alameda County, CA",6001,75-84 years,2014,2015,56157
"Alameda County, CA",6001,75-84 years,2015,2059,57410
"Alameda County, CA",6001,75-84 years,2016,2137,58837
"Alameda County, CA",6001,85+ years,1999,2629,18317
"Alameda County, CA",6001,85+ years,2000,2687,18823
"Alameda County, CA",6001,85+ years,2001,2720,19036
"Alameda County, CA",6001,85+ years,2002,2617,19179
"Alameda County, CA",6001,85+ years,2003,2748,19638
"Alameda County, CA",6001,85+ years,2004,2586,19908
"Alameda County, CA",6001,85+ years,2005,2782,20643
"Alameda County, CA",6001,85+ years,2006,2831,21361
"Alameda County, CA",6001,85+ years,2007,2874,22277
"Alameda County, CA",6001,85+ years,2008,2974,23033
"Alameda County, CA",6001,85+ years,2009,2922,24114
"Alameda County, CA",6001,85+ years,2010,3064,24733
"Alameda County, CA",6001,85+ years,2011,3041,26156
"Alameda County, CA",6001,85+ years,2012,3253,27032
"Alameda County, CA",6001,85+ years,2013,3376,27707
"Alameda County, CA",6001,85+ years,2014,3276,28303
"Alameda County, CA",6001,85+ years,2015,3476,28922
"Alameda County, CA",6001,85+ years,2016,3462,29285
"Amador County, CA",6005,35-44 years,1999,10,5773
"Amador County, CA",6005,35-44 years,2002,12,5505
"Amador County, CA",6005,35-44 years,2003,11,5399
"Amador County, CA",6005,35-44 years,2004,14,5346
"Amador County, CA",6005,35-44 years,2009,11,4639
"Amador County, CA",6005,35-44 years,2010,17,4518
"Amador County, CA",6005,35-44 years,2011,11,4335
"Amador County, CA",6005,35-44 years,2013,10,4009
"Amador County, CA",6005,35-44 years,2016,12,4068
"Amador County, CA",6005,45-54 years,1999,20,5493
"Amador County, CA",6005,45-54 years,2000,26,5545
"Amador County, CA",6005,45-54 years,2001,30,5978
"Amador County, CA",6005,45-54 years,2002,20,6047
"Amador County, CA",6005,45-54 years,2003,31,6148
"Amador County, CA",6005,45-54 years,2004,26,6260
"Amador County, CA",6005,45-54 years,2005,35,6475
"Amador County, CA",6005,45-54 years,2006,30,6532
"Amador County, CA",6005,45-54 years,2007,36,6631
"Amador County, CA",6005,45-54 years,2008,30,6536
"Amador County, CA",6005,45-54 years,2009,34,6494
"Amador County, CA",6005,45-54 years,2010,48,6369
"Amador County, CA",6005,45-54 years,2011,22,6063
"Amador County, CA",6005,45-54 years,2012,25,5868
"Amador County, CA",6005,45-54 years,2013,27,5550
"Amador County, CA",6005,45-54 years,2014,21,5386
"Amador County, CA",6005,45-54 years,2015,18,5273
"Amador County, CA",6005,45-54 years,2016,13,5134
"Amador County, CA",6005,55-64 years,1999,26,4113
"Amador County, CA",6005,55-64 years,2000,41,4222
"Amador County, CA",6005,55-64 years,2001,36,4604
"Amador County, CA",6005,55-64 years,2002,44,5122
"Amador County, CA",6005,55-64 years,2003,52,5369
"Amador County, CA",6005,55-64 years,2004,33,5629
"Amador County, CA",6005,55-64 years,2005,44,5922
"Amador County, CA",6005,55-64 years,2006,43,6268
"Amador County, CA",6005,55-64 years,2007,49,6494
"Amador County, CA",6005,55-64 years,2008,50,6686
"Amador County, CA",6005,55-64 years,2009,59,6750
"Amador County, CA",6005,55-64 years,2010,42,6796
"Amador County, CA",6005,55-64 years,2011,46,6822
"Amador County, CA",6005,55-64 years,2012,66,6630
"Amador County, CA",6005,55-64 years,2013,46,6579
"Amador County, CA",6005,55-64 years,2014,51,6515
"Amador County, CA",6005,55-64 years,2015,54,6476
"Amador County, CA",6005,55-64 years,2016,54,6443
"Amador County, CA",6005,65-74 years,1999,67,3454
"Amador County, CA",6005,65-74 years,2000,73,3445
"Amador County, CA",6005,65-74 years,2001,78,3442
"Amador County, CA",6005,65-74 years,2002,66,3474
"Amador County, CA",6005,65-74 years,2003,72,3519
"Amador County, CA",6005,65-74 years,2004,59,3583
"Amador County, CA",6005,65-74 years,2005,75,3713
"Amador County, CA",6005,65-74 years,2006,70,3781
"Amador County, CA",6005,65-74 years,2007,61,3946
"Amador County, CA",6005,65-74 years,2008,71,4108
"Amador County, CA",6005,65-74 years,2009,70,4302
"Amador County, CA",6005,65-74 years,2010,69,4455
"Amador County, CA",6005,65-74 years,2011,77,4659
"Amador County, CA",6005,65-74 years,2012,83,5028
"Amador County, CA",6005,65-74 years,2013,85,5265
"Amador County, CA",6005,65-74 years,2014,80,5553
"Amador County, CA",6005,65-74 years,2015,72,5818
"Amador County, CA",6005,65-74 years,2016,101,6055
"Amador County, CA",6005,75-84 years,1999,111,2195
"Amador County, CA",6005,75-84 years,2000,139,2227
"Amador County, CA",6005,75-84 years,2001,127,2290
"Amador County, CA",6005,75-84 years,2002,119,2369
"Amador County, CA",6005,75-84 years,2003,111,2430
"Amador County, CA",6005,75-84 years,2004,115,2432
"Amador County, CA",6005,75-84 years,2005,119,2444
"Amador County, CA",6005,75-84 years,2006,115,2426
"Amador County, CA",6005,75-84 years,2007,110,2414
"Amador County, CA",6005,75-84 years,2008,114,2384
"Amador County, CA",6005,75-84 years,2009,102,2372
"Amador County, CA",6005,75-84 years,2010,106,2408
"Amador County, CA",6005,75-84 years,2011,108,2387
"Amador County, CA",6005,75-84 years,2012,106,2413
"Amador County, CA",6005,75-84 years,2013,101,2425
"Amador County, CA",6005,75-84 years,2014,94,2533
"Amador County, CA",6005,75-84 years,2015,127,2603
"Amador County, CA",6005,75-84 years,2016,117,2674
"Amador County, CA",6005,85+ years,1999,116,629
"Amador County, CA",6005,85+ years,2000,80,645
"Amador County, CA",6005,85+ years,2001,109,687
"Amador County, CA",6005,85+ years,2002,101,741
"Amador County, CA",6005,85+ years,2003,111,783
"Amador County, CA",6005,85+ years,2004,101,785
"Amador County, CA",6005,85+ years,2005,132,836
"Amador County, CA",6005,85+ years,2006,131,851
"Amador County, CA",6005,85+ years,2007,117,907
"Amador County, CA",6005,85+ years,2008,134,920
"Amador County, CA",6005,85+ years,2009,120,985
"Amador County, CA",6005,85+ years,2010,147,1002
"Amador County, CA",6005,85+ years,2011,162,1046
"Amador County, CA",6005,85+ years,2012,140,1092
"Amador County, CA",6005,85+ years,2013,139,1128
"Amador County, CA",6005,85+ years,2014,177,1123
"Amador County, CA",6005,85+ years,2015,142,1122
"Amador County, CA",6005,85+ years,2016,141,1081
"Butte County, CA",6007,< 1 year,2000,14,2207
"Butte County, CA",6007,< 1 year,2001,10,2247
"Butte County, CA",6007,< 1 year,2002,18,2243
"Butte County, CA",6007,< 1 year,2003,15,2280
"Butte County, CA",6007,< 1 year,2004,14,2377
"Butte County, CA",6007,< 1 year,2005,20,2313
"Butte County, CA",6007,< 1 year,2006,16,2506
"Butte County, CA",6007,< 1 year,2007,20,2494
"Butte County, CA",6007,< 1 year,2008,14,2508
"Butte County, CA",6007,< 1 year,2009,12,2462
"Butte County, CA",6007,< 1 year,2010,12,2420
"Butte County, CA",6007,< 1 year,2011,12,2424
"Butte County, CA",6007,< 1 year,2012,12,2382
"Butte County, CA",6007,< 1 year,2013,15,2311
"Butte County, CA",6007,< 1 year,2014,12,2470
"Butte County, CA",6007,< 1 year,2016,13,2488
"Butte County, CA",6007,15-19 years,2000,10,17101
"Butte County, CA",6007,15-19 years,2001,12,18406
"Butte County, CA",6007,15-19 years,2002,12,18778
"Butte County, CA",6007,15-19 years,2003,11,18719
"Butte County, CA",6007,15-19 years,2004,14,18798
"Butte County, CA",6007,15-19 years,2006,14,18856
"Butte County, CA",6007,15-19 years,2015,10,15686
"Butte County, CA",6007,20-24 years,1999,17,18745
"Butte County, CA",6007,20-24 years,2000,11,19648
"Butte County, CA",6007,20-24 years,2001,20,20838
"Butte County, CA",6007,20-24 years,2002,14,22471
"Butte County, CA",6007,20-24 years,2003,18,23556
"Butte County, CA",6007,20-24 years,2004,16,24252
"Butte County, CA",6007,20-24 years,2005,16,24675
"Butte County, CA",6007,20-24 years,2006,16,24632
"Butte County, CA",6007,20-24 years,2007,15,24046
"Butte County, CA",6007,20-24 years,2008,23,23731
"Butte County, CA",6007,20-24 years,2010,18,22818
"Butte County, CA",6007,20-24 years,2011,19,24845
"Butte County, CA",6007,20-24 years,2013,20,26561
"Butte County, CA",6007,20-24 years,2014,16,26488
"Butte County, CA",6007,20-24 years,2015,18,25852
"Butte County, CA",6007,20-24 years,2016,16,25272
"Butte County, CA",6007,25-34 years,1999,24,23431
"Butte County, CA",6007,25-34 years,2000,26,23087
"Butte County, CA",6007,25-34 years,2001,29,22483
"Butte County, CA",6007,25-34 years,2002,19,22403
"Butte County, CA",6007,25-34 years,2003,23,22434
"Butte County, CA",6007,25-34 years,2004,28,22550
"Butte County, CA",6007,25-34 years,2005,25,22755
"Butte County, CA",6007,25-34 years,2006,44,23118
"Butte County, CA",6007,25-34 years,2007,30,23750
"Butte County, CA",6007,25-34 years,2008,29,24634
"Butte County, CA",6007,25-34 years,2009,37,25704
"Butte County, CA",6007,25-34 years,2010,32,26681
"Butte County, CA",6007,25-34 years,2011,30,26614
"Butte County, CA",6007,25-34 years,2012,38,26272
"Butte County, CA",6007,25-34 years,2013,36,26528
"Butte County, CA",6007,25-34 years,2014,26,27297
"Butte County, CA",6007,25-34 years,2015,32,28007
"Butte County, CA",6007,25-34 years,2016,35,29115
"Butte County, CA",6007,35-44 years,1999,72,27448
"Butte County, CA",6007,35-44 years,2000,55,27249
"Butte County, CA",6007,35-44 years,2001,77,26825
"Butte County, CA",6007,35-44 years,2002,61,26317
"Butte County, CA",6007,35-44 years,2003,68,25876
"Butte County, CA",6007,35-44 years,2004,64,25372
"Butte County, CA",6007,35-44 years,2005,60,25151
"Butte County, CA",6007,35-44 years,2006,75,24916
"Butte County, CA",6007,35-44 years,2007,58,24427
"Butte County, CA",6007,35-44 years,2008,51,24002
"Butte County, CA",6007,35-44 years,2009,62,23565
"Butte County, CA",6007,35-44 years,2010,60,23329
"Butte County, CA",6007,35-44 years,2011,50,22961
"Butte County, CA",6007,35-44 years,2012,58,22869
"Butte County, CA",6007,35-44 years,2013,42,22967
"Butte County, CA",6007,35-44 years,2014,45,23174
"Butte County, CA",6007,35-44 years,2015,46,23490
"Butte County, CA",6007,35-44 years,2016,63,23844
"Butte County, CA",6007,45-54 years,1999,117,25824
"Butte County, CA",6007,45-54 years,2000,151,26809
"Butte County, CA",6007,45-54 years,2001,120,28014
"Butte County, CA",6007,45-54 years,2002,173,28385
"Butte County, CA",6007,45-54 years,2003,163,28969
"Butte County, CA",6007,45-54 years,2004,163,29353
"Butte County, CA",6007,45-54 years,2005,138,29563
"Butte County, CA",6007,45-54 years,2006,177,29944
"Butte County, CA",6007,45-54 years,2007,189,29837
"Butte County, CA",6007,45-54 years,2008,180,29759
"Butte County, CA",6007,45-54 years,2009,181,29277
"Butte County, CA",6007,45-54 years,2010,149,28877
"Butte County, CA",6007,45-54 years,2011,134,27847
"Butte County, CA",6007,45-54 years,2012,149,27056
"Butte County, CA",6007,45-54 years,2013,126,26276
"Butte County, CA",6007,45-54 years,2014,127,25708
"Butte County, CA",6007,45-54 years,2015,141,25256
"Butte County, CA",6007,45-54 years,2016,124,24839
"Butte County, CA",6007,55-64 years,1999,194,17043
"Butte County, CA",6007,55-64 years,2000,156,17471
"Butte County, CA",6007,55-64 years,2001,209,18290
"Butte County, CA",6007,55-64 years,2002,202,19798
"Butte County, CA",6007,55-64 years,2003,223,21062
"Butte County, CA",6007,55-64 years,2004,224,22409
"Butte County, CA",6007,55-64 years,2005,232,23731
"Butte County, CA",6007,55-64 years,2006,247,25104
"Butte County, CA",6007,55-64 years,2007,252,26231
"Butte County, CA",6007,55-64 years,2008,252,27367
"Butte County, CA",6007,55-64 years,2009,267,28360
"Butte County, CA",6007,55-64 years,2010,318,28878
"Butte County, CA",6007,55-64 years,2011,263,29588
"Butte County, CA",6007,55-64 years,2012,279,29461
"Butte County, CA",6007,55-64 years,2013,279,29580
"Butte County, CA",6007,55-64 years,2014,324,29767
"Butte County, CA",6007,55-64 years,2015,330,29761
"Butte County, CA",6007,55-64 years,2016,348,29690
"Butte County, CA",6007,65-74 years,1999,387,15481
"Butte County, CA",6007,65-74 years,2000,358,15207
"Butte County, CA",6007,65-74 years,2001,361,15021
"Butte County, CA",6007,65-74 years,2002,370,14726
"Butte County, CA",6007,65-74 years,2003,319,14790
"Butte County, CA",6007,65-74 years,2004,330,14774
"Butte County, CA",6007,65-74 years,2005,296,14872
"Butte County, CA",6007,65-74 years,2006,346,15269
"Butte County, CA",6007,65-74 years,2007,325,15703
"Butte County, CA",6007,65-74 years,2008,362,16326
"Butte County, CA",6007,65-74 years,2009,362,16908
"Butte County, CA",6007,65-74 years,2010,346,17185
"Butte County, CA",6007,65-74 years,2011,359,17747
"Butte County, CA",6007,65-74 years,2012,396,19131
"Butte County, CA",6007,65-74 years,2013,386,20262
"Butte County, CA",6007,65-74 years,2014,361,21361
"Butte County, CA",6007,65-74 years,2015,433,22495
"Butte County, CA",6007,65-74 years,2016,466,23517
"Butte County, CA",6007,75-84 years,1999,666,12494
"Butte County, CA",6007,75-84 years,2000,719,12630
"Butte County, CA",6007,75-84 years,2001,706,12621
"Butte County, CA",6007,75-84 years,2002,735,12608
"Butte County, CA",6007,75-84 years,2003,685,12454
"Butte County, CA",6007,75-84 years,2004,664,12363
"Butte County, CA",6007,75-84 years,2005,644,12264
"Butte County, CA",6007,75-84 years,2006,620,11867
"Butte County, CA",6007,75-84 years,2007,634,11583
"Butte County, CA",6007,75-84 years,2008,611,11280
"Butte County, CA",6007,75-84 years,2009,517,10994
"Butte County, CA",6007,75-84 years,2010,510,10962
"Butte County, CA",6007,75-84 years,2011,549,10831
"Butte County, CA",6007,75-84 years,2012,544,10892
"Butte County, CA",6007,75-84 years,2013,482,10911
"Butte County, CA",6007,75-84 years,2014,495,11043
"Butte County, CA",6007,75-84 years,2015,553,11247
"Butte County, CA",6007,75-84 years,2016,509,11543
"Butte County, CA",6007,85+ years,1999,634,4093
"Butte County, CA",6007,85+ years,2000,633,4219
"Butte County, CA",6007,85+ years,2001,696,4427
"Butte County, CA",6007,85+ years,2002,651,4479
"Butte County, CA",6007,85+ years,2003,664,4678
"Butte County, CA",6007,85+ years,2004,657,4760
"Butte County, CA",6007,85+ years,2005,704,4973
"Butte County, CA",6007,85+ years,2006,775,5155
"Butte County, CA",6007,85+ years,2007,728,5319
"Butte County, CA",6007,85+ years,2008,761,5459
"Butte County, CA",6007,85+ years,2009,775,5603
"Butte County, CA",6007,85+ years,2010,719,5670
"Butte County, CA",6007,85+ years,2011,752,5724
"Butte County, CA",6007,85+ years,2012,796,5849
"Butte County, CA",6007,85+ years,2013,872,5809
"Butte County, CA",6007,85+ years,2014,706,5831
"Butte County, CA",6007,85+ years,2015,822,5836
"Butte County, CA",6007,85+ years,2016,853,5755
"Calaveras County, CA",6009,25-34 years,2016,12,4152
"Calaveras County, CA",6009,35-44 years,1999,20,6010
"Calaveras County, CA",6009,35-44 years,2000,15,5953
"Calaveras County, CA",6009,35-44 years,2001,15,5822
"Calaveras County, CA",6009,35-44 years,2002,13,5740
"Calaveras County, CA",6009,35-44 years,2003,16,5694
"Calaveras County, CA",6009,35-44 years,2004,18,5616
"Calaveras County, CA",6009,35-44 years,2005,10,5570
"Calaveras County, CA",6009,35-44 years,2006,16,5534
"Calaveras County, CA",6009,35-44 years,2008,11,5071
"Calaveras County, CA",6009,35-44 years,2012,10,4191
"Calaveras County, CA",6009,35-44 years,2013,10,4088
"Calaveras County, CA",6009,35-44 years,2015,10,4033
"Calaveras County, CA",6009,45-54 years,1999,23,6612
"Calaveras County, CA",6009,45-54 years,2000,30,6868
"Calaveras County, CA",6009,45-54 years,2001,26,7215
"Calaveras County, CA",6009,45-54 years,2002,36,7370
"Calaveras County, CA",6009,45-54 years,2003,35,7662
"Calaveras County, CA",6009,45-54 years,2004,34,7785
"Calaveras County, CA",6009,45-54 years,2005,37,7913
"Calaveras County, CA",6009,45-54 years,2006,35,8066
"Calaveras County, CA",6009,45-54 years,2007,30,8048
"Calaveras County, CA",6009,45-54 years,2008,24,8036
"Calaveras County, CA",6009,45-54 years,2009,39,7690
"Calaveras County, CA",6009,45-54 years,2010,33,7565
"Calaveras County, CA",6009,45-54 years,2011,34,7123
"Calaveras County, CA",6009,45-54 years,2012,24,6799
"Calaveras County, CA",6009,45-54 years,2013,31,6498
"Calaveras County, CA",6009,45-54 years,2014,20,6227
"Calaveras County, CA",6009,45-54 years,2015,23,5983
"Calaveras County, CA",6009,45-54 years,2016,25,5872
"Calaveras County, CA",6009,55-64 years,1999,45,5537
"Calaveras County, CA",6009,55-64 years,2000,35,5761
"Calaveras County, CA",6009,55-64 years,2001,53,6011
"Calaveras County, CA",6009,55-64 years,2002,61,6402
"Calaveras County, CA",6009,55-64 years,2003,49,6720
"Calaveras County, CA",6009,55-64 years,2004,38,7145
"Calaveras County, CA",6009,55-64 years,2005,42,7566
"Calaveras County, CA",6009,55-64 years,2006,56,7865
"Calaveras County, CA",6009,55-64 years,2007,63,8074
"Calaveras County, CA",6009,55-64 years,2008,61,8182
"Calaveras County, CA",6009,55-64 years,2009,62,8369
"Calaveras County, CA",6009,55-64 years,2010,53,8458
